code,lat,long
T2E6M4,51.0478,-114.0585
T2G2B3,51.0478,-114.0585
T2J5X9,51.0478,-114.0585
T2W1J6,51.0478,-114.0585
T2X2B5,51.0478,-114.0585
T0L1T0,51.0478,-114.0585
T3B5R4,51.0478,-114.0585
T2G1P4,51.0478,-114.0585
T2V3T1,51.0478,-114.0585
T2P2E6,51.0478,-114.0585
T2N1Z7,51.0478,-114.0585
T2H0J3,51.0478,-114.0585
T2G2Z4,51.0478,-114.0585
T2E7S8,51.0478,-114.0585
T2G2H8,51.0478,-114.0585
T2S0B4,51.0478,-114.0585
T2R1R2,51.0478,-114.0585
T2R1M1,51.0478,-114.0585
T2R1K1,51.0478,-114.0585
T2R0X7,51.0478,-114.0585
T2R0E4,51.0478,-114.0585
T2P5A6,51.0478,-114.0585
T2P4J8,51.0478,-114.0585
T2P4H2,51.0478,-114.0585
T2P3S8,51.0478,-114.0585
T2P3P8,51.0478,-114.0585
T2P2T9,51.0478,-114.0585
T2P1M7,51.0478,-114.0585
T2G3W5,51.0478,-114.0585
T2P5A2,51.0478,-114.0585
T3C3P6,51.0478,-114.0585
T2P0S8,51.0478,-114.0585
T2A0J9,51.0478,-114.0585
T2A5P7,51.0478,-114.0585
T2A2A2,51.0478,-114.0585
T2A0W6,51.0478,-114.0585
T2A1V4,51.0478,-114.0585
T2B3H4,51.0478,-114.0585
T2A7T2,51.0478,-114.0585
T2A7J5,51.0478,-114.0585
T2A7B5,51.0478,-114.0585
T2A1H1,51.0478,-114.0585
T2A1R9,51.0478,-114.0585
T2A1X2,51.0478,-114.0585
T2A5V9,51.0478,-114.0585
T2A6P9,51.0478,-114.0585
T2A2L7,51.0478,-114.0585
T2A2V6,51.0478,-114.0585
T2A4L6,51.0478,-114.0585
T2A5J8,51.0478,-114.0585
T2A0W5,51.0478,-114.0585
T2A1B5,51.0478,-114.0585
T3C0J5,51.0478,-114.0585
T2T1X4,51.0478,-114.0585
T3C3M5,51.0478,-114.0585
T3C0J8,51.0478,-114.0585
T2G2H8,51.0478,-114.0585
T2V2N6,51.0478,-114.0585
T2T1V7,51.0478,-114.0585
T2P3P8,51.0478,-114.0585
T2E0P8,51.0478,-114.0585
T2P3M7,51.0478,-114.0585
T2P3G2,51.0478,-114.0585
T2M0K7,51.0478,-114.0585
T2L0N8,51.0478,-114.0585
T2E7C8,51.0478,-114.0585
T2K2W6,51.0478,-114.0585
T2N1M7,51.0478,-114.0585
T2G0V9,51.0478,-114.0585
T2H1J9,51.0478,-114.0585
T2P4H2,51.0478,-114.0585
T2R1L5,51.0478,-114.0585
T5M3W2,51.0478,-114.0585
T2R0C8,51.0478,-114.0585
T2P0M9,51.0478,-114.0585
T2P0L6,51.0478,-114.0585
T2J6A5,51.0478,-114.0585
T2G4B7,51.0478,-114.0585
T2E8S1,51.0478,-114.0585
T2E7A7,51.0478,-114.0585
T2B2S6,51.0478,-114.0585
T2E6N9,51.0478,-114.0585
T2H0S6,51.0478,-114.0585
T2P0N7,51.0478,-114.0585
T2C0B2,51.0478,-114.0585
T2P2P5,51.0478,-114.0585
T2E8G8,51.0478,-114.0585
T2E7C3,51.0478,-114.0585
T2E1K1,51.0478,-114.0585
T2R1J4,51.0478,-114.0585
T3C1T7,51.0478,-114.0585
T3H3J6,51.0478,-114.0585
T3E6N5,51.0478,-114.0585
T3E1Y5,51.0478,-114.0585
T3E6M8,51.0478,-114.0585
T3E5K4,51.0478,-114.0585
T3E3R9,51.0478,-114.0585
T3E3K4,51.0478,-114.0585
T3E3J4,51.0478,-114.0585
T3E6N3,51.0478,-114.0585
T3C0Y6,51.0478,-114.0585
